"TelefonModelleri","Agirlik","Uzunluk","Genislik","EkranBoyutu","Bellek","IslemciHızı","PilOmru","KameraSayisi","Renkler","SimKarti","Ram","Fiyat"
"Iphone 12 Pro","189","146.7","71.5","6.1''","128GB
256GB
512GB","3.0GHz","2.815mAh","4","Gümüş
Altın
Mavi","2","6GB","14.999 TL"
"Iphone 12","164","146.7","71.5","6.1''","64GB
128GB
256GB","3.0GHz","2.815mAh","3","Siyah
Beyaz
Yeşil Mavi","2","4GB","10.999 TL"
"Iphone 12 Mini","135","131.5","64.2","5.4''","64GB
128GB
256GB","3.0GHz","2.227mAh","3","Siyah
Beyaz
Yeşil Mavi","2","4GB","9,999"
"Iphone 11","194","150.9","75.7","6.1''","64GB
128GB
256GB","2.65GHz","3.110mAh","3","Mor
Sarı
Yeşil
Siyah
Beyaz","2","4GB","7,999"
"Iphone 11 Pro","188","144","71.4","5.8''","64GB
128GB
256GB","2.65GHz","3.046mAh","4","Gümüş
Altın
","2","4GB","11,999"
"Iphone 11 Pro Max","226","158","77.8","6.5''","64GB
128GB
256GB","2.65GHz","3.969mAh","4","Gümüş
Altın","2","4GB","14,999"
"Iphone X","174","143.6","70.9","5.8''","64GB
256GB","2.1GHz","2.716mAh","3","Gümüş
Uzay Gri","1","3GB","9,000"
"Iphone 8 Plus","202","158.4","78.1","5.5''","64GB
128GB","2.1GHz","2.675mAh","2","Gümüş
Uzay Gri
Gold","1","3GB","7,500"
"Iphone 8","148","138.4","67.3","4.0""","64GB
128GB","2.1GHz","1.821mAh","2","Gümüş
Uzay Gri
Gold","1","2GB","6,500"
"Iphone 7 Plus","188","158.2","77.9","5.0""","32GB
128GB","2.34GHz","2.900mAh","2","Gümüş
Siyah
Altın","1","3GB","6,300"
"Iphone 7 ","138","138.3","67.1","4.0""","32GB
128GB","2.34GHz","1.960mAh","2","Gümüş
Siyah
Altın","1","2GB","3,799"
"Iphone 6 Plus","172","158.1","77.8","5.2""","16GB
64GB","1.4GHz","2.915mAh","2","Gümüş
Uzay Gri
Altın","1","1GB","2,199"
"Iphone 6 ","129","138.1","67","4.2.","16GB
32GB
64GB","1.4GHz","1.800mAh","2","Gümüş
Uzay Gri
Altın","1","1GB","1,500"
"Galaxy J4+","178","161.4","76.9","6.0","16GB","1.4GHz","3.300mAh","2","Altın
Siyaj
Pembe","1","2GB","1,600"
"Galaxy J6+","178","161.4","76.9","6.2""","32GB","1.4GHz","3.300mAh","3","Gri
Siyah
Kırmızı","1","3GB","2,500"
"Galaxy J8","186","159.2","75.7","6.1""","32GB
64GB","1.8GHz","3.500mAh","3","Pembe
Siyah
Altın","1","3GB","2,899"
"Galaxy J6","154","149.1","70.2","5.3""","32GB","1.6GHz","3.000mAh","2","Siyah
Gri","1","3GB","2,600"
"Galaxy M51","213","163.9","76.3","6.5""","128GB","2.2GHz","7.000mAh","5","Siyah
Beyaz","1","8GB","3,799"
"Galaxy M21","188","159","75.1","6.4""","64GB","2.3GHz","6.000mAh","4","Siyah
Mavi
Yeşil","2","4GB","2,599"
"Galaxy M11","197","161.4","76.3","6.3""","32GB","1.8GHz","5.000mAh","4","Siyah
Mavi","2","3GB","2,099"
"Galaxy M31","191","159.2","75.1","6.2""","128GB","2.3GHz","6.000mAh","5","Siyah
Mavi","2","6GB","3,600"
"Galaxy M20","186","156.4","74.5","6.1""","32GB","1.8GHz","5.000mAh","3","Siyah
Mavi","1","3GB","2,199"
"Galaxy M10","163","155.6","75.6","6.2""","16GB","1.6GHz","3.400mAh","3","Siyah
Mavi","1","2GB","2,000"
"Huaweı Mate40 Pro","212","162.9","75.5","6.3""","256GB","3.13GHz","4.400mAh","4","Siyah
Gümüş","2","8GB","13,999"
"Huaweı P40 Pro","209","158.2","72.6","6.5""","256GB","2.8GHz","4.200mAh","5","Siyah
Beyaz
Gümüş","2","8GB","12,500"
"Huaweı P40 ","175","148.9","71","6.2""","128GB","2.8GHz","3.800mAh","4","Siyah
Beyaz
Gümüş","2","8GB","9,167"
"Huaweı Mate30 Pro","198","158.1","73.1","6.5""","256GB","2.8GHz","4.500mAh","5","Uzay Gri","2","8GB","8,999"
"Huaweı P30 Pro","192","158","73.4","6.4""","128GB","2.6GHz","4.200mAh","4","Siyah
Mavi","2","6GB","6,999"
"Huaweı P30","165","149.1","71.3","6.3""","128GB","2.6GHz","3.650mAh","4","Siyah
Mavi","2","6GB","6,699"
"Huaweı P40 Lite","183","165.2","76.3","6.2""","128GB","2.2GHz","4.200mAh","5","Pembe
Siyah
Yeşil","2","6GB","4,100"
"Huaweı P30 Lite","159","152.9","72.7","6.2""","128GB","2.2GHz","3.340mAh","4","Siyah
Beyaz
Mavi","2","4GB","3,700"
